publication_date,day,month,year
3/1/1998,1,3,1998
5/11/2004,11,5,2004
4/6/1999,6,4,1999
7/30/2002,30,7,2002
2/7/1984,7,2,1984
11/28/2006,28,11,2006
9/28/1991,28,9,1991
1/24/2006,24,1,2006
10/31/2002,31,10,2002
7/9/2002,9,7,2002
8/29/2006,29,8,2006
1/2/2007,2,1,2007
12/19/2002,19,12,2002
9/12/2005,12,9,2005
3/1/2004,1,3,2004
11/17/2003,17,11,2003
1/14/2005,14,1,2005
4/1/2003,1,4,2003
5/19/2009,19,5,2009
3/10/1994,10,3,1994
10/1/2004,1,10,2004
11/7/2002,7,11,2002
7/1/1989,1,7,1989
9/11/2003,11,9,2003
2/1/2001,1,2,2001
12/1/2000,1,12,2000
9/12/2006,12,9,2006
2/2/1998,2,2,1998
10/1/2001,1,10,2001
5/25/2004,25,5,2004
11/1/2005,1,11,2005
7/1/2003,1,7,2003
11/28/2006,28,11,2006
7/26/2005,26,7,2005
9/12/2006,12,9,2006
10/1/2002,1,10,2002
11/26/1996,26,11,1996
7/25/2006,25,7,2006
8/14/2006,14,8,2006
10/31/2000,31,10,2000
12/12/2006,12,12,2006
9/1/2003,1,9,2003
10/5/2006,5,10,2006
10/25/2005,25,10,2005
10/1/1990,1,10,1990
11/8/2005,8,11,2005
1/30/2007,30,1,2007
7/1/2004,1,7,2004
10/29/2002,29,10,2002
9/1/2003,1,9,2003
4/1/1998,1,4,1998
11/8/2001,8,11,2001
9/26/2006,26,9,2006
11/15/2000,15,11,2000
3/4/1998,4,3,1998
1/6/2004,6,1,2004
4/4/2006,4,4,2006
1/1/2002,1,1,2002
9/19/2006,19,9,2006
10/29/1996,29,10,1996
9/1/2003,1,9,2003
11/12/1999,12,11,1999
8/20/2002,20,8,2002
8/12/1988,12,8,1988
6/13/2006,13,6,2006
5/8/2001,8,5,2001
1/1/2005,1,1,2005
6/4/2002,4,6,2002
6/1/2001,1,6,2001
9/15/2003,15,9,2003
6/12/2002,12,6,2002
11/21/2002,21,11,2002
11/23/2004,23,11,2004
9/1/2001,1,9,2001
11/30/2004,30,11,2004
9/1/1995,1,9,1995
6/24/2003,24,6,2003
11/3/1999,3,11,1999
4/25/2006,25,4,2006
6/28/2005,28,6,2005
7/1/2003,1,7,2003
6/18/2005,18,6,2005
9/30/2003,30,9,2003
10/1/2003,1,10,2003
11/1/2005,1,11,2005
5/1/2004,1,5,2004
11/9/2004,9,11,2004
2/25/2003,25,2,2003
5/22/2006,22,5,2006
4/5/2001,5,4,2001
4/1/2003,1,4,2003
1/18/2005,18,1,2005
4/29/2003,29,4,2003
7/22/2002,22,7,2002
7/5/2005,5,7,2005
7/27/2004,27,7,2004
5/18/1998,18,5,1998
12/26/1998,26,12,1998
12/22/1997,22,12,1997
7/27/2004,27,7,2004
6/28/2005,28,6,2005
4/13/2006,13,4,2006
6/2/1992,2,6,1992
3/1/1992,1,3,1992
10/3/2006,3,10,2006
1/4/2005,4,1,2005
1/15/2003,15,1,2003
12/2/2005,2,12,2005
12/6/2002,6,12,2002
6/14/2005,14,6,2005
4/20/2005,20,4,2005
9/4/1999,4,9,1999
8/19/2002,19,8,2002
5/29/2001,29,5,2001
12/6/2006,6,12,2006
1/23/2007,23,1,2007
4/1/2006,1,4,2006
6/15/1999,15,6,1999
9/17/2006,17,9,2006
11/7/2006,7,11,2006
8/29/2006,29,8,2006
2/20/2006,20,2,2006
1/30/2001,30,1,2001
6/1/1995,1,6,1995
1/18/2008,18,1,2008
4/1/2005,1,4,2005
6/13/2006,13,6,2006
12/5/2000,5,12,2000
1/24/2006,24,1,2006
3/12/1996,12,3,1996
11/1/2000,1,11,2000
5/10/2006,10,5,2006
6/17/2002,17,6,2002
10/10/2005,10,10,2005
5/1/1995,1,5,1995
11/7/1989,7,11,1989
9/15/1998,15,9,1998
9/1/2003,1,9,2003
8/26/1986,26,8,1986
9/27/2005,27,9,2005
5/1/1999,1,5,1999
9/17/2002,17,9,2002
7/1/2005,1,7,2005
9/1/1996,1,9,1996
6/2/2004,2,6,2004
9/13/2005,13,9,2005
1/29/2004,29,1,2004
10/11/2004,11,10,2004
11/15/2005,15,11,2005
10/1/2006,1,10,2006
2/28/1999,28,2,1999
4/5/2001,5,4,2001
2/8/2005,8,2,2005
12/29/1998,29,12,1998
5/31/2005,31,5,2005
8/6/1998,6,8,1998
1/10/2007,10,1,2007
6/8/2001,8,6,2001
3/30/2010,30,3,2010
8/28/2003,28,8,2003
6/27/2006,27,6,2006
3/30/2007,30,3,2007
7/25/2006,25,7,2006
1/1/1996,1,1,1996
11/5/1997,5,11,1997
9/9/2010,9,9,2010
1/29/2004,29,1,2004
7/1/2001,1,7,2001
12/11/2003,11,12,2003
11/1/2007,1,11,2007
5/12/1982,12,5,1982
6/17/1997,17,6,1997
8/26/2002,26,8,2002
6/10/2002,10,6,2002
5/1/2002,1,5,2002
3/1/2005,1,3,2005
10/1/1998,1,10,1998
8/29/2006,29,8,2006
10/1/1990,1,10,1990
1/20/2000,20,1,2000
3/1/2002,1,3,2002
11/1/2004,1,11,2004
11/1/2005,1,11,2005
3/30/2004,30,3,2004
7/5/2006,5,7,2006
5/30/2006,30,5,2006
1/3/2006,3,1,2006
4/1/1999,1,4,1999
6/6/1989,6,6,1989
8/27/1999,27,8,1999
9/9/2004,9,9,2004
3/13/2007,13,3,2007
9/10/2002,10,9,2002
3/3/1999,3,3,1999
5/1/1999,1,5,1999
10/3/2006,3,10,2006
2/1/1999,1,2,1999
8/1/2005,1,8,2005
6/1/2003,1,6,2003
4/27/2004,27,4,2004
4/26/2005,26,4,2005
1/2/2007,2,1,2007
4/19/2005,19,4,2005
6/1/2006,1,6,2006
12/17/2005,17,12,2005
9/17/1998,17,9,1998
6/28/2005,28,6,2005
4/1/1997,1,4,1997
9/27/2005,27,9,2005
11/7/2000,7,11,2000
6/18/1989,18,6,1989
11/23/2004,23,11,2004
10/1/2003,1,10,2003
6/1/2005,1,6,2005
10/7/2004,7,10,2004
7/5/2005,5,7,2005
12/3/2005,3,12,2005
8/28/2007,28,8,2007
1/3/1998,3,1,1998
9/13/1991,13,9,1991
9/5/2006,5,9,2006
1/1/1998,1,1,1998
1/10/2006,10,1,2006
11/1/1983,1,11,1983
3/7/2006,7,3,2006
4/14/1998,14,4,1998
6/17/1996,17,6,1996
8/23/2005,23,8,2005
5/20/2002,20,5,2002
5/17/2006,17,5,2006
5/31/2005,31,5,2005
3/4/2003,4,3,2003
3/8/2005,8,3,2005
3/15/2007,15,3,2007
2/3/2004,3,2,2004
1/27/2006,27,1,2006
11/5/2002,5,11,2002
11/1/2000,1,11,2000
10/26/2004,26,10,2004
4/21/2009,21,4,2009
8/1/2001,1,8,2001
9/3/1998,3,9,1998
4/25/2006,25,4,2006
7/4/2002,4,7,2002
10/24/2006,24,10,2006
7/1/2000,1,7,2000
10/1/1993,1,10,1993
7/5/2005,5,7,2005
4/15/2003,15,4,2003
4/23/1989,23,4,1989
4/1/2005,1,4,2005
3/27/2007,27,3,2007
7/25/2006,25,7,2006
11/15/2006,15,11,2006
9/1/2001,1,9,2001
8/28/2000,28,8,2000
8/14/2007,14,8,2007
2/1/1994,1,2,1994
11/6/2006,6,11,2006
12/5/2006,5,12,2006
8/30/2005,30,8,2005
10/9/2001,9,10,2001
4/1/1999,1,4,1999
4/30/2005,30,4,2005
5/30/2006,30,5,2006
9/3/2001,3,9,2001
7/24/2007,24,7,2007
7/15/1987,15,7,1987
9/6/2005,6,9,2005
9/26/2006,26,9,2006
2/5/1996,5,2,1996
10/12/1971,12,10,1971
9/24/2002,24,9,2002
9/1/1993,1,9,1993
4/17/2007,17,4,2007
7/27/2004,27,7,2004
12/31/2004,31,12,2004
9/2/2005,2,9,2005
4/7/1998,7,4,1998
11/1/2006,1,11,2006
10/9/2001,9,10,2001
7/31/2005,31,7,2005
4/12/2005,12,4,2005
2/2/1998,2,2,1998
11/14/1995,14,11,1995
7/1/1994,1,7,1994
4/7/2005,7,4,2005
10/3/2006,3,10,2006
4/1/1999,1,4,1999
5/30/2007,30,5,2007
4/8/2003,8,4,2003
11/5/2003,5,11,2003
7/5/2004,5,7,2004
4/9/2000,9,4,2000
10/10/2006,10,10,2006
9/28/2004,28,9,2004
8/28/2000,28,8,2000
7/30/2002,30,7,2002
8/4/2003,4,8,2003
8/4/2003,4,8,2003
2/15/1985,15,2,1985
4/17/1994,17,4,1994
12/18/2007,18,12,2007
1/5/1988,5,1,1988
6/13/1997,13,6,1997
9/8/1998,8,9,1998
3/1/2007,1,3,2007
6/1/1988,1,6,1988
6/8/2004,8,6,2004
9/1/1995,1,9,1995
11/1/1998,1,11,1998
8/31/2006,31,8,2006
2/4/2003,4,2,2003
6/14/2005,14,6,2005
8/15/2006,15,8,2006
5/2/2006,2,5,2006
9/1/2002,1,9,2002
12/1/2007,1,12,2007
11/14/2006,14,11,2006
1/15/1999,15,1,1999
2/22/1999,22,2,1999
2/7/2006,7,2,2006
11/18/2003,18,11,2003
9/9/2003,9,9,2003
6/14/2001,14,6,2001
7/31/2007,31,7,2007
4/1/2000,1,4,2000
7/1/2002,1,7,2002
6/1/2005,1,6,2005
6/1/2000,1,6,2000
11/4/2004,4,11,2004
7/2/2003,2,7,2003
4/24/2003,24,4,2003
3/28/2006,28,3,2006
5/1/2000,1,5,2000
3/1/2007,1,3,2007
9/30/1999,30,9,1999
3/6/2007,6,3,2007
12/20/2006,20,12,2006
8/26/2003,26,8,2003
7/3/1990,3,7,1990
7/8/2000,8,7,2000
4/27/2004,27,4,2004
8/1/2002,1,8,2002
12/1/1996,1,12,1996
8/20/1998,20,8,1998
6/1/2005,1,6,2005
1/4/2005,4,1,2005
10/1/2001,1,10,2001
1/6/2004,6,1,2004
9/19/2002,19,9,2002
3/1/2000,1,3,2000
7/1/1994,1,7,1994
9/6/2006,6,9,2006
2/5/1991,5,2,1991
1/1/2003,1,1,2003
10/17/2006,17,10,2006
1/5/2002,5,1,2002
8/5/2004,5,8,2004
4/1/2000,1,4,2000
7/1/2006,1,7,2006
9/5/2006,5,9,2006
7/5/2006,5,7,2006
8/16/2006,16,8,2006
9/12/2000,12,9,2000
2/1/1999,1,2,1999
3/2/2004,2,3,2004
10/26/1996,26,10,1996
7/15/1992,15,7,1992
5/10/2005,10,5,2005
3/21/2000,21,3,2000
1/2/1990,2,1,1990
8/26/2004,26,8,2004
3/1/2007,1,3,2007
10/1/1999,1,10,1999
4/1/1995,1,4,1995
9/10/2007,10,9,2007
10/4/2005,4,10,2005
4/1/2002,1,4,2002
7/2/1996,2,7,1996
4/1/2004,1,4,2004
10/17/2006,17,10,2006
5/17/1997,17,5,1997
5/1/2003,1,5,2003
8/17/2005,17,8,2005
4/27/2004,27,4,2004
10/29/2002,29,10,2002
1/30/2007,30,1,2007
4/9/2002,9,4,2002
10/5/1989,5,10,1989
4/26/2000,26,4,2000
1/12/1999,12,1,1999
10/6/2004,6,10,2004
8/30/2005,30,8,2005
11/7/2002,7,11,2002
6/27/2006,27,6,2006
6/1/2000,1,6,2000
11/21/2006,21,11,2006
1/7/2003,7,1,2003
6/29/2005,29,6,2005
5/24/2004,24,5,2004
5/1/1992,1,5,1992
1/1/1999,1,1,1999
5/1/2005,1,5,2005
10/4/2005,4,10,2005
5/25/1999,25,5,1999
3/20/2001,20,3,2001
11/8/2006,8,11,2006
5/4/2004,4,5,2004
4/5/2001,5,4,2001
10/1/2006,1,10,2006
1/1/2004,1,1,2004
8/28/2007,28,8,2007
6/17/1997,17,6,1997
11/29/2001,29,11,2001
10/1/2006,1,10,2006
12/1/1998,1,12,1998
9/11/2001,11,9,2001
5/2/2006,2,5,2006
3/1/2006,1,3,2006
8/5/2003,5,8,2003
10/7/2003,7,10,2003
10/17/2006,17,10,2006
6/16/2003,16,6,2003
9/5/2000,5,9,2000
4/13/2004,13,4,2004
6/4/1998,4,6,1998
11/1/2002,1,11,2002
2/6/2007,6,2,2007
11/7/2006,7,11,2006
1/10/2006,10,1,2006
5/6/2003,6,5,2003
5/3/2005,3,5,2005
8/26/2003,26,8,2003
9/24/2002,24,9,2002
9/1/1995,1,9,1995
1/6/2005,6,1,2005
10/1/1993,1,10,1993
5/1/2003,1,5,2003
9/13/2005,13,9,2005
10/10/2003,10,10,2003
7/11/2004,11,7,2004
5/31/2004,31,5,2004
4/15/2004,15,4,2004
3/1/2004,1,3,2004
5/1/2001,1,5,2001
2/25/2003,25,2,2003
11/14/2014,14,11,2014
1/1/2001,1,1,2001
8/29/2000,29,8,2000
7/1/2006,1,7,2006
9/6/1999,6,9,1999
5/7/2003,7,5,2003
12/1/1990,1,12,1990
4/24/2007,24,4,2007
7/16/1998,16,7,1998
8/7/2007,7,8,2007
10/1/1998,1,10,1998
5/2/2000,2,5,2000
2/5/1985,5,2,1985
5/3/2005,3,5,2005
7/12/2005,12,7,2005
3/1/1992,1,3,1992
12/1/1995,1,12,1995
11/1/1993,1,11,1993
5/16/2004,16,5,2004
7/1/1996,1,7,1996
3/5/2003,5,3,2003
1/28/1992,28,1,1992
4/1/2007,1,4,2007
7/2/2002,2,7,2002
3/1/1992,1,3,1992
10/6/2003,6,10,2003
4/1/1990,1,4,1990
6/3/2003,3,6,2003
8/27/2002,27,8,2002
11/1/2006,1,11,2006
7/1/2003,1,7,2003
7/10/2012,10,7,2012
2/3/1999,3,2,1999
2/23/2005,23,2,2005
3/30/2004,30,3,2004
10/12/1985,12,10,1985
6/12/1992,12,6,1992
3/29/1979,29,3,1979
6/14/2007,14,6,2007
1/1/2002,1,1,2002
11/18/2003,18,11,2003
11/5/2002,5,11,2002
5/5/2009,5,5,2009
8/26/2003,26,8,2003
10/25/2004,25,10,2004
11/30/2000,30,11,2000
11/10/2006,10,11,2006
3/1/1999,1,3,1999
6/8/2004,8,6,2004
10/1/1990,1,10,1990
1/11/2001,11,1,2001
4/28/1998,28,4,1998
7/5/2005,5,7,2005
4/8/2004,8,4,2004
5/16/1991,16,5,1991
10/1/2002,1,10,2002
11/1/2006,1,11,2006
8/1/1997,1,8,1997
1/10/1998,10,1,1998
9/6/2005,6,9,2005
3/31/2003,31,3,2003
7/5/2006,5,7,2006
8/7/1997,7,8,1997
7/1/1991,1,7,1991
9/1/2000,1,9,2000
2/1/1999,1,2,1999
2/13/2007,13,2,2007
3/9/1998,9,3,1998
5/9/2005,9,5,2005
12/12/1986,12,12,1986
11/7/2000,7,11,2000
3/3/2005,3,3,2005
6/23/1997,23,6,1997
2/21/2004,21,2,2004
9/6/1994,6,9,1994
6/1/2006,1,6,2006
10/3/2006,3,10,2006
11/7/2006,7,11,2006
4/13/2004,13,4,2004
4/6/2004,6,4,2004
7/1/2005,1,7,2005
1/2/2007,2,1,2007
10/27/1992,27,10,1992
3/30/2000,30,3,2000
12/31/2002,31,12,2002
9/18/1959,18,9,1959
3/7/2001,7,3,2001
8/18/1999,18,8,1999
7/11/2004,11,7,2004
5/13/2003,13,5,2003
1/2/2001,2,1,2001
4/1/1995,1,4,1995
2/2/1999,2,2,1999
7/1/2004,1,7,2004
12/1/2004,1,12,2004
9/11/2001,11,9,2001
1/10/2007,10,1,2007
2/14/2006,14,2,2006
12/28/2004,28,12,2004
10/26/2004,26,10,2004
10/1/1992,1,10,1992
3/7/2006,7,3,2006
8/21/2000,21,8,2000
7/5/2005,5,7,2005
5/1/1994,1,5,1994
1/13/1994,13,1,1994
5/16/2006,16,5,2006
2/4/2003,4,2,2003
2/6/2007,6,2,2007
10/3/2006,3,10,2006
7/1/2004,1,7,2004
8/14/2007,14,8,2007
1/1/1990,1,1,1990
7/18/2000,18,7,2000
2/2/2002,2,2,2002
5/4/2006,4,5,2006
9/1/2006,1,9,2006
4/18/2006,18,4,2006
9/5/2006,5,9,2006
5/9/2006,9,5,2006
7/7/1992,7,7,1992
12/3/2005,3,12,2005
10/28/2003,28,10,2003
4/6/2004,6,4,2004
4/1/2003,1,4,2003
1/1/2006,1,1,2006
10/1/1998,1,10,1998
7/1/2005,1,7,2005
10/1/2005,1,10,2005
4/12/2005,12,4,2005
8/27/2002,27,8,2002
7/25/2002,25,7,2002
9/30/2003,30,9,2003
3/16/2004,16,3,2004
9/19/2006,19,9,2006
5/1/2001,1,5,2001
12/31/2002,31,12,2002
6/2/2005,2,6,2005
5/30/2006,30,5,2006
1/4/2000,4,1,2000
6/1/1993,1,6,1993
1/13/2003,13,1,2003
9/2/2003,2,9,2003
4/4/2006,4,4,2006
7/25/2006,25,7,2006
1/1/2001,1,1,2001
12/1/1991,1,12,1991
1/1/1996,1,1,1996
10/17/2000,17,10,2000
7/1/2004,1,7,2004
3/24/2003,24,3,2003
3/28/2006,28,3,2006
4/6/2004,6,4,2004
11/30/1976,30,11,1976
12/26/1999,26,12,1999
12/5/2006,5,12,2006
1/3/2006,3,1,2006
4/10/2007,10,4,2007
4/27/1994,27,4,1994
4/14/1993,14,4,1993
5/22/2000,22,5,2000
10/2/2001,2,10,2001
4/24/2006,24,4,2006
5/1/2012,1,5,2012
10/18/2006,18,10,2006
1/1/2005,1,1,2005
8/29/2006,29,8,2006
12/1/2005,1,12,2005
6/1/2004,1,6,2004
2/1/2003,1,2,2003
8/27/1996,27,8,1996
8/24/2002,24,8,2002
4/21/1999,21,4,1999
8/3/2004,3,8,2004
9/1/2001,1,9,2001
6/12/1996,12,6,1996
2/2/1996,2,2,1996
6/1/2006,1,6,2006
11/2/2006,2,11,2006
12/7/2006,7,12,2006
4/3/2001,3,4,2001
2/5/2004,5,2,2004
4/29/2003,29,4,2003
1/2/2007,2,1,2007
10/21/1988,21,10,1988
11/8/2008,8,11,2008
3/2/2000,2,3,2000
2/2/2000,2,2,2000
5/2/2000,2,5,2000
9/8/2001,8,9,2001
9/1/1999,1,9,1999
8/27/1996,27,8,1996
9/1/1999,1,9,1999
8/14/2007,14,8,2007
9/17/1998,17,9,1998
10/17/2006,17,10,2006
10/11/2004,11,10,2004
9/1/2000,1,9,2000
1/30/2007,30,1,2007
7/25/2006,25,7,2006
9/12/2000,12,9,2000
10/6/2004,6,10,2004
8/12/1992,12,8,1992
11/25/1999,25,11,1999
10/15/1994,15,10,1994
9/1/2003,1,9,2003
8/28/2001,28,8,2001
3/2/2000,2,3,2000
9/17/2002,17,9,2002
5/10/2002,10,5,2002
7/2/2002,2,7,2002
2/1/2005,1,2,2005
8/6/1991,6,8,1991
12/9/1989,9,12,1989
8/28/2001,28,8,2001
4/24/2001,24,4,2001
12/12/2006,12,12,2006
2/4/2003,4,2,2003
7/6/2004,6,7,2004
3/1/2001,1,3,2001
6/7/2004,7,6,2004
9/5/2006,5,9,2006
1/31/2006,31,1,2006
9/29/1994,29,9,1994
3/1/2016,1,3,2016
5/1/2004,1,5,2004
1/10/2006,10,1,2006
3/3/2005,3,3,2005
5/12/1981,12,5,1981
11/13/2001,13,11,2001
10/17/2006,17,10,2006
2/1/2004,1,2,2004
2/6/1997,6,2,1997
5/2/2006,2,5,2006
3/11/2004,11,3,2004
8/25/2004,25,8,2004
5/6/2003,6,5,2003
5/22/2001,22,5,2001
12/28/2004,28,12,2004
9/26/2006,26,9,2006
6/1/1996,1,6,1996
8/10/1998,10,8,1998
4/24/1998,24,4,1998
11/1/2002,1,11,2002
10/6/2001,6,10,2001
1/1/1986,1,1,1986
9/26/1996,26,9,1996
9/30/2006,30,9,2006
3/1/2001,1,3,2001
8/1/2006,1,8,2006
9/15/1998,15,9,1998
3/21/2006,21,3,2006
10/30/1999,30,10,1999
8/12/1999,12,8,1999
2/10/2000,10,2,2000
5/1/2002,1,5,2002
3/22/2004,22,3,2004
12/1/1991,1,12,1991
12/1/1997,1,12,1997
8/24/2005,24,8,2005
10/25/2001,25,10,2001
7/1/2004,1,7,2004
2/7/2006,7,2,2006
2/1/2007,1,2,2007
5/1/1994,1,5,1994
7/2/2002,2,7,2002
12/3/2002,3,12,2002
3/6/2007,6,3,2007
3/1/1999,1,3,1999
5/1/2002,1,5,2002
8/17/2007,17,8,2007
7/22/2008,22,7,2008
3/1/1999,1,3,1999
4/7/1987,7,4,1987
1/5/2000,5,1,2000
12/1/1997,1,12,1997
5/1/2001,1,5,2001
3/1/2005,1,3,2005
9/4/2003,4,9,2003
4/19/2004,19,4,2004
6/5/1986,5,6,1986
9/11/2001,11,9,2001
6/28/2001,28,6,2001
3/14/2006,14,3,2006
9/23/1999,23,9,1999
5/16/2000,16,5,2000
8/27/2002,27,8,2002
9/8/2006,8,9,2006
9/1/1993,1,9,1993
5/4/2004,4,5,2004
5/26/1998,26,5,1998
9/17/2002,17,9,2002
6/1/2004,1,6,2004
7/6/2005,6,7,2005
11/29/2005,29,11,2005
9/27/1979,27,9,1979
7/26/2005,26,7,2005
9/26/2006,26,9,2006
7/2/2002,2,7,2002
6/1/1984,1,6,1984
7/18/2002,18,7,2002
8/1/2001,1,8,2001
1/5/1992,5,1,1992
8/22/2006,22,8,2006
4/15/1998,15,4,1998
6/15/1998,15,6,1998
8/1/1994,1,8,1994
2/6/1996,6,2,1996
10/11/2005,11,10,2005
10/26/2006,26,10,2006
9/5/2006,5,9,2006
1/7/2003,7,1,2003
3/15/2011,15,3,2011
10/26/2000,26,10,2000
7/25/2006,25,7,2006
10/26/2004,26,10,2004
7/11/2006,11,7,2006
10/1/2002,1,10,2002
6/1/2004,1,6,2004
8/4/2003,4,8,2003
6/15/2004,15,6,2004
7/4/2005,4,7,2005
10/1/1990,1,10,1990
4/3/2003,3,4,2003
11/26/1996,26,11,1996
5/1/1991,1,5,1991
4/1/2006,1,4,2006
6/7/2006,7,6,2006
4/2/2005,2,4,2005
5/1/2005,1,5,2005
10/16/2003,16,10,2003
4/24/2001,24,4,2001
12/6/2005,6,12,2005
1/1/2004,1,1,2004
12/1/1986,1,12,1986
9/1/1993,1,9,1993
4/6/2004,6,4,2004
10/29/2002,29,10,2002
6/1/2004,1,6,2004
1/2/2007,2,1,2007
5/1/2002,1,5,2002
2/1/2006,1,2,2006
1/9/2007,9,1,2007
7/30/1962,30,7,1962
4/15/1997,15,4,1997
10/31/2006,31,10,2006
11/1/2001,1,11,2001
10/1/2005,1,10,2005
3/6/2007,6,3,2007
2/1/2000,1,2,2000
11/1/1964,1,11,1964
7/18/2006,18,7,2006
10/31/2006,31,10,2006
2/1/2005,1,2,2005
6/29/1999,29,6,1999
5/2/2006,2,5,2006
9/10/2004,10,9,2004
10/10/2006,10,10,2006
6/1/2004,1,6,2004
4/25/2004,25,4,2004
2/18/2003,18,2,2003
7/1/2001,1,7,2001
5/1/1985,1,5,1985
5/1/2001,1,5,2001
9/1/2003,1,9,2003
6/23/1997,23,6,1997
8/31/2004,31,8,2004
1/6/2006,6,1,2006
11/3/2003,3,11,2003
7/22/2003,22,7,2003
11/8/2005,8,11,2005
4/22/2004,22,4,2004
6/3/2003,3,6,2003
5/25/2004,25,5,2004
4/5/2004,5,4,2004
7/12/1975,12,7,1975
12/26/2006,26,12,2006
9/1/1995,1,9,1995
2/16/1993,16,2,1993
10/27/1982,27,10,1982
9/1/2004,1,9,2004
9/16/2002,16,9,2002
7/1/2005,1,7,2005
7/13/2005,13,7,2005
2/7/2005,7,2,2005
8/1/1998,1,8,1998
12/29/1998,29,12,1998
1/2/2007,2,1,2007
4/26/2005,26,4,2005
7/8/1997,8,7,1997
10/10/2006,10,10,2006
4/1/2006,1,4,2006
5/1/2004,1,5,2004
11/1/1994,1,11,1994
9/18/2002,18,9,2002
1/28/2006,28,1,2006
1/15/2001,15,1,2001
12/26/2006,26,12,2006
9/6/2005,6,9,2005
3/1/2005,1,3,2005
3/27/2012,27,3,2012
10/5/2001,5,10,2001
11/28/2006,28,11,2006
6/1/1999,1,6,1999
9/11/2001,11,9,2001
12/22/1999,22,12,1999
3/20/2007,20,3,2007
5/1/1999,1,5,1999
10/5/2004,5,10,2004
2/1/1990,1,2,1990
5/1/2001,1,5,2001
9/12/2000,12,9,2000
10/23/2001,23,10,2001
11/1/2003,1,11,2003
9/9/2004,9,9,2004
5/1/1993,1,5,1993
12/5/2003,5,12,2003
8/22/2006,22,8,2006
2/14/2007,14,2,2007
10/1/1996,1,10,1996
2/5/2004,5,2,2004
6/27/2007,27,6,2007
4/3/1994,3,4,1994
11/8/2005,8,11,2005
8/30/2005,30,8,2005
8/5/2003,5,8,2003
6/1/1992,1,6,1992
1/1/2007,1,1,2007
12/23/2003,23,12,2003
10/15/1991,15,10,1991
4/25/2006,25,4,2006
10/3/2006,3,10,2006
4/10/2006,10,4,2006
4/4/2006,4,4,2006
2/25/1993,25,2,1993
5/1/1999,1,5,1999
10/10/2006,10,10,2006
5/1/2006,1,5,2006
10/31/2006,31,10,2006
2/1/1994,1,2,1994
8/30/2005,30,8,2005
4/25/2006,25,4,2006
3/28/2006,28,3,2006
5/1/2005,1,5,2005
11/31/2000,#VALUE!,#VALUE!,#VALUE!
8/18/2005,18,8,2005
10/25/2005,25,10,2005
1/1/1991,1,1,1991
4/1/2007,1,4,2007
8/17/2004,17,8,2004
10/3/2006,3,10,2006
7/5/2005,5,7,2005
3/1/2005,1,3,2005
1/3/2006,3,1,2006
1/24/2006,24,1,2006
6/23/1997,23,6,1997
9/1/2004,1,9,2004
8/3/2006,3,8,2006
5/18/2005,18,5,2005
7/30/2002,30,7,2002
10/7/2003,7,10,2003
7/4/1996,4,7,1996
2/24/1977,24,2,1977
11/1/2004,1,11,2004
9/8/2005,8,9,2005
5/10/2005,10,5,2005
9/1/1999,1,9,1999
7/31/2007,31,7,2007
8/1/2006,1,8,2006
9/15/1999,15,9,1999
11/17/1992,17,11,1992
6/1/2006,1,6,2006
1/27/2004,27,1,2004
12/1/2003,1,12,2003
12/6/2004,6,12,2004
9/26/2006,26,9,2006
10/3/2006,3,10,2006
6/1/2004,1,6,2004
11/8/2005,8,11,2005
5/15/2007,15,5,2007
3/4/2003,4,3,2003
6/1/1988,1,6,1988
8/15/2006,15,8,2006
4/28/1998,28,4,1998
1/15/1994,15,1,1994
4/1/2005,1,4,2005
7/25/2006,25,7,2006
4/23/2004,23,4,2004
4/29/2003,29,4,2003
1/17/1995,17,1,1995
4/24/2003,24,4,2003
10/3/2006,3,10,2006
1/1/2004,1,1,2004
11/27/2003,27,11,2003
9/5/2006,5,9,2006
9/1/2006,1,9,2006
2/24/2006,24,2,2006
7/25/2000,25,7,2000
9/1/1992,1,9,1992
3/2/2004,2,3,2004
6/6/2006,6,6,2006
9/17/2001,17,9,2001
1/1/2001,1,1,2001
9/26/2006,26,9,2006
4/3/2007,3,4,2007
2/25/2014,25,2,2014
10/24/2006,24,10,2006
10/7/2003,7,10,2003
5/1/2003,1,5,2003
3/21/2006,21,3,2006
12/1/1991,1,12,1991
1/1/1997,1,1,1997
4/19/2005,19,4,2005
9/30/1978,30,9,1978
11/27/1990,27,11,1990
10/10/2006,10,10,2006
4/25/2000,25,4,2000
6/4/2004,4,6,2004
4/1/2003,1,4,2003
11/28/1998,28,11,1998
2/28/2006,28,2,2006
8/15/2006,15,8,2006
12/2/2003,2,12,2003
9/18/2007,18,9,2007
6/11/2002,11,6,2002
5/6/2003,6,5,2003
9/20/2005,20,9,2005
2/14/2006,14,2,2006
12/1/1998,1,12,1998
7/1/2002,1,7,2002
10/1/2003,1,10,2003
10/19/2005,19,10,2005
3/7/2006,7,3,2006
3/26/2002,26,3,2002
1/17/2003,17,1,2003
6/1/1995,1,6,1995
9/8/2004,8,9,2004
1/17/2007,17,1,2007
9/1/2005,1,9,2005
9/17/2001,17,9,2001
12/17/1998,17,12,1998
3/24/2006,24,3,2006
6/1/1993,1,6,1993
9/23/2005,23,9,2005
4/1/1998,1,4,1998
11/4/2002,4,11,2002
7/25/2006,25,7,2006
11/12/1986,12,11,1986
4/11/1997,11,4,1997
5/1/2002,1,5,2002
9/1/1992,1,9,1992
